mz,rt,mode
653.3,10.7,Negative
654.3,10.7,Negative
654.56,9.9,Negative
655.58,10,Negative
656.53,10.9,Negative
656.89,11.9,Negative
657.9,11.9,Negative
658.54,11.2,Negative
658.89,11.9,Negative
659.55,11.2,Negative
659.54,9.9,Negative
660.45,10.1,Negative
661.13,11.9,Negative
661.38,10.7,Negative
661.37,10.1,Negative
662.39,10.7,Negative
662.49,10.1,Negative
662.82,0.3,Negative
663.86,12,Negative
663.85,0.3,Negative
664.81,0.3,Negative
665.42,8.4,Negative
665.59,10.1,Negative
665.82,0.3,Negative
666.43,8.4,Negative
666.59,10.1,Negative
667.42,8.4,Negative
667.53,9.9,Negative
668.54,9.9,Negative
669.45,8.8,Negative
670.45,8.8,Negative
671.37,3.1,Negative
673.9,12,Negative
674.47,10.1,Negative
675.47,10.1,Negative
676.2,6.8,Negative
676.47,10.1,Negative
677.35,7.8,Negative
677.47,10.1,Negative
678.46,10.1,Negative
678.8,0.3,Negative
681.29,7.9,Negative
681.43,11.4,Negative
681.54,9.9,Negative
682.3,7.9,Negative
682.43,11.4,Negative
682.56,9.9,Negative
682.9,11.9,Negative
683.42,11.4,Negative
686.9,11.9,Negative
688.48,10.1,Negative
689.26,6.8,Negative
689.49,10.1,Negative
690.49,10.1,Negative
691.45,10,Negative
691.9,11.9,Negative
692.31,2.4,Negative
692.44,10,Negative
692.92,11.9,Negative
693.17,6.8,Negative
693.47,10,Negative
693.92,11.9,Negative
694.17,6.8,Negative
694.56,9.9,Negative
695.51,9.9,Negative
696.49,9.9,Negative
697.43,10,Negative
698.43,10,Negative
698.88,11.9,Negative
699.43,10,Negative
700.89,11.9,Negative
701.21,6.8,Negative
702.88,11.9,Negative
703.2,6.8,Negative
703.88,11.9,Negative
704.48,10.1,Negative
704.81,12,Negative
705.41,10.7,Negative
706.4,10.7,Negative
706.5,10,Negative
706.8,12,Negative
707.89,11.9,Negative
708.92,11.9,Negative
709.56,9.9,Negative
709.94,11.9,Negative
710.59,10,Negative
711.42,8.4,Negative
713.39,10,Negative
714.4,10,Negative
714.85,11.9,Negative
715.39,10,Negative
715.86,11.9,Negative
716.42,10,Negative
716.85,11.9,Negative
719.99,3.2,Negative
721.19,6.8,Negative
721.53,9.9,Negative
723.54,10,Negative
724.55,10,Negative
724.88,11.9,Negative
725.54,10,Negative
725.89,11.9,Negative
726.58,10,Negative
726.88,11.9,Negative
728.28,10.1,Negative
729.39,9.5,Negative
730.39,9.5,Negative
730.81,0.3,Negative
731.85,12,Negative
733.42,8.4,Negative
735.41,10.2,Negative
736.81,12,Negative
737.58,9.9,Negative
738.62,10,Negative
741.45,10.2,Negative
741.9,11.9,Negative
742.45,10.2,Negative
744.92,11.8,Negative
749.44,10.7,Negative
750.88,11.9,Negative
751.57,10,Negative
752.62,10.1,Negative
754.89,11.9,Negative
757.41,10.2,Negative
758.41,10.2,Negative
758.87,11.9,Negative
759.37,10.2,Negative
759.49,7.4,Negative
759.89,11.9,Negative
760.91,11.9,Negative
761.9,11.9,Negative
762.53,11.4,Negative
763.57,10,Negative
763.78,0.3,Negative
765.6,10,Negative
766.86,11.9,Negative
767.86,11.9,Negative
768.88,11.9,Negative
770.63,10,Negative
770.87,11.9,Negative
771.87,11.9,Negative
772.83,12,Negative
774.8,12,Negative
775.4,7.6,Negative
775.33,10.1,Negative
775.88,11.9,Negative
776.41,7.6,Negative
776.8,0.3,Negative
776.9,11.9,Negative
777.64,8.4,Negative
777.9,11.9,Negative
778.52,10.1,Negative
778.8,0.3,Negative
779.52,10.1,Negative
779.65,8.6,Negative
779.75,0.3,Negative
779.87,11.9,Negative
780.52,10.1,Negative
780.65,8.6,Negative
781.54,10,Negative
782.83,11.9,Negative
783.85,12,Negative
784.85,11.9,Negative
785.48,10.4,Negative
787.41,6.8,Negative
787.86,12,Negative
791.31,10.1,Negative
792.54,10.1,Negative
792.78,0.3,Negative
792.87,11.9,Negative
793.54,10,Negative
793.89,11.9,Negative
794.87,11.9,Negative
797.11,11.9,Negative
799.84,12,Negative
804.81,12,Negative
805.62,10,Negative
806.63,10,Negative
808.81,12,Negative
808.76,0.3,Negative
809.85,12,Negative
810.88,11.9,Negative
811.4,3.1,Negative
812.91,11.9,Negative
813.39,3.1,Negative
813.87,11.9,Negative
816.8,12,Negative
817.51,11.4,Negative
817.57,7.8,Negative
818.57,7.8,Negative
818.87,11.9,Negative
819.56,7.8,Negative
820.61,7.8,Negative
820.81,12,Negative
821.83,11.9,Negative
822.54,10.2,Negative
822.8,12,Negative
823.54,10.2,Negative
824.55,10.2,Negative
824.81,12,Negative
825.45,6.8,Negative
826.86,11.9,Negative
827.88,11.9,Negative
828.89,11.9,Negative
829.7,10,Negative
829.88,11.9,Negative
830.7,10,Negative
830.86,11.9,Negative
831.47,8.2,Negative
831.69,10,Negative
832.47,8.2,Negative
834.85,11.9,Negative
835.85,11.9,Negative
836.57,10.2,Negative
836.86,11.9,Negative
838.86,11.9,Negative
839.86,11.9,Negative
840.8,12,Negative
841.42,6.8,Negative
842.42,6.8,Negative
842.79,12,Negative
843.42,6.8,Negative
843.87,11.9,Negative
844.42,6.8,Negative
844.89,11.9,Negative
845.89,11.9,Negative
847.86,11.9,Negative
848.81,12,Negative
850.83,11.9,Negative
851.84,11.9,Negative
852.84,11.9,Negative
853.38,6.8,Negative
853.86,11.9,Negative
854.38,6.8,Negative
855.37,6.8,Negative
855.62,10,Negative
855.85,11.9,Negative
856.38,6.8,Negative
857.39,6.8,Negative
857.74,10,Negative
858.4,6.8,Negative
858.74,10,Negative
859.74,10,Negative
860.73,10,Negative
860.85,11.9,Negative
861.71,9.9,Negative
861.86,11.9,Negative
862.71,9.9,Negative
862.86,11.9,Negative
865.1,11.9,Negative
867.84,12,Negative
869.8,12,Negative
872.81,12,Negative
873.86,11.9,Negative
876.8,12,Negative
877.85,11.9,Negative
878.87,11.9,Negative
879.87,11.9,Negative
880.89,11.9,Negative
881.86,11.9,Negative
882.56,10,Negative
882.8,11.9,Negative
883.81,12,Negative
884.45,3.1,Negative
884.79,12,Negative
885.59,7.8,Negative
885.77,10.1,Negative
886.78,10.1,Negative
886.86,11.9,Negative
887.53,8.8,Negative
887.77,10.1,Negative
888.54,8.8,Negative
888.77,10.1,Negative
889.75,10,Negative
889.85,11.9,Negative
890.76,10,Negative
890.87,11.9,Negative
892.57,10.1,Negative
892.8,12,Negative
893.57,10.1,Negative
894.57,10.1,Negative
894.85,11.9,Negative
895.57,10.1,Negative
895.86,11.9,Negative
896.57,10.1,Negative
896.88,11.9,Negative
897.6,10.1,Negative
897.88,11.9,Negative
898.8,12,Negative
901.67,8.4,Negative
902.84,11.9,Negative
903.85,11.9,Negative
904.85,11.9,Negative
906.86,11.9,Negative
907.85,11.9,Negative
908.54,10.1,Negative
908.8,12,Negative
909.41,6.8,Negative
909.54,10.1,Negative
910.4,6.8,Negative
910.54,10.1,Negative
910.79,12,Negative
911.54,10.1,Negative
911.86,11.9,Negative
912.54,10.1,Negative
912.89,11.9,Negative
913.59,10.1,Negative
913.86,11.9,Negative
915.85,11.9,Negative
918.82,11.9,Negative
919.83,11.9,Negative
920.83,11.9,Negative
921.36,6.8,Negative
921.8,11.9,Negative
923.36,6.8,Negative
923.82,11.9,Negative
924.8,12,Negative
925.51,10.1,Negative
926.52,10.1,Negative
927.52,10.1,Negative
928.52,10.1,Negative
928.84,11.9,Negative
929.36,8.7,Negative
929.85,11.9,Negative
930.36,8.7,Negative
930.85,11.9,Negative
935.58,5.2,Negative
935.81,12,Negative
937.8,11.9,Negative
940.79,12,Negative
941.34,6.8,Negative
941.57,9.2,Negative
942.59,9.2,Negative
942.79,12,Negative
943.59,9.2,Negative
944.79,12,Negative
945.84,11.9,Negative
946.83,11.9,Negative
947.5,10.1,Negative
948.88,11.9,Negative
949.85,11.9,Negative
950.81,11.9,Negative
951.53,8.1,Negative
951.8,11.9,Negative
952.53,8.1,Negative
954.85,11.9,Negative
955.81,11.9,Negative
956.8,12,Negative
957.8,11.9,Negative
958.84,11.9,Negative
961.8,10,Negative
962.79,10,Negative
962.84,11.9,Negative
963.86,11.9,Negative
964.87,11.9,Negative
966.79,11.9,Negative
970.84,11.9,Negative
971.82,11.9,Negative
972.85,11.9,Negative
974.85,11.9,Negative
975.82,11.9,Negative
976.78,12,Negative
977.37,6.8,Negative
978.78,12,Negative
979.85,11.9,Negative
980.85,11.9,Negative
981.3,6.8,Negative
981.86,11.9,Negative
983.81,11.9,Negative
985.79,11.9,Negative
986.8,11.9,Negative
987.82,11.9,Negative
988.82,11.9,Negative
989.6,9.2,Negative
991.84,11.9,Negative
992.79,12,Negative
993.62,5.4,Negative
994.62,5.5,Negative
996.5,8.5,Negative
996.83,11.9,Negative
997.52,8.1,Negative
997.84,11.9,Negative
998.85,11.9,Negative
1003.78,12,Negative
1006.8,11.9,Negative
1007.59,8.6,Negative
1008.59,8.6,Negative
1009.61,8.6,Negative
1012.79,12,Negative
1013.83,11.9,Negative
1014.84,11.9,Negative
1016.87,11.9,Negative
1017.85,11.9,Negative
1018.8,11.9,Negative
1022.84,11.9,Negative
1026.85,11.9,Negative
1028.79,12,Negative
1030.85,11.9,Negative
1031.79,11.9,Negative
1032.86,11.9,Negative
1038.83,11.9,Negative
1039.78,11.9,Negative
1040.85,11.9,Negative
1042.84,11.9,Negative
1043.84,11.9,Negative
1044.78,12,Negative
1047.8,11.9,Negative
1048.85,11.9,Negative
1049.85,11.9,Negative
1051.66,5.7,Negative
1052.66,5.7,Negative
1053.59,8.6,Negative
1054.59,8.6,Negative
1054.81,11.9,Negative
1055.78,12,Negative
1056.82,11.9,Negative
1057.79,11.9,Negative
1059.79,11.9,Negative
1061.64,9,Negative
1063.65,9.1,Negative
1064.66,9.1,Negative
1064.81,11.9,Negative
1065.82,11.9,Negative
1066.81,11.9,Negative
1071.78,12,Negative
1074.79,11.9,Negative
1076.79,12,Negative
1077.79,11.9,Negative
1080.79,11.9,Negative
1081.81,11.9,Negative
1082.81,11.9,Negative
1084.84,11.9,Negative
1085.84,11.9,Negative
1086.79,11.9,Negative
1090.82,11.9,Negative
1093.78,11.9,Negative
1094.8,11.9,Negative
1098.78,11.9,Negative
1099.79,11.9,Negative
1100.85,11.9,Negative
1103.78,12,Negative
1106.82,11.9,Negative
1108.84,11.9,Negative
1109.66,9.1,Negative
1109.71,5.9,Negative
1110.68,9.1,Negative
1110.7,5.9,Negative
1111.7,5.9,Negative
1111.83,11.9,Negative
1112.77,12,Negative
1116.83,11.9,Negative
1117.83,11.9,Negative
1119.71,9.5,Negative
1120.71,9.5,Negative
1122.8,11.9,Negative
1123.79,11.9,Negative
1124.83,11.9,Negative
1127.77,12,Negative
1129.56,6.8,Negative
1130.56,6.8,Negative
1131.56,6.8,Negative
1132.57,6.8,Negative
1132.8,11.9,Negative
1133.82,11.9,Negative
1134.79,11.9,Negative
1141.51,6.8,Negative
1142.52,6.8,Negative
1142.79,11.9,Negative
1143.52,6.8,Negative
1144.52,6.8,Negative
1145.52,6.8,Negative
1148.76,11.9,Negative
1149.8,11.9,Negative
1150.79,11.9,Negative
1152.63,6.8,Negative
1152.79,11.9,Negative
1153.64,6.8,Negative
1153.83,11.9,Negative
1158.83,11.9,Negative
1160.78,11.9,Negative
1162.79,11.9,Negative
1165.73,6.2,Negative
1166.77,11.9,Negative
1167.74,6.1,Negative
1168.75,6.1,Negative
1168.84,11.9,Negative
1169.75,6.1,Negative
1173.76,9.7,Negative
1174.81,11.9,Negative
1174.79,9.6,Negative
1175.78,9.7,Negative
1176.8,11.9,Negative
1176.81,9.7,Negative
1178.79,11.9,Negative
1179.85,11.9,Negative
1183.77,11.9,Negative
1184.82,11.9,Negative
1185.83,11.9,Negative
1190.76,11.9,Negative
1191.77,11.9,Negative
1192.77,10.1,Negative
1192.8,11.9,Negative
1193.76,10.1,Negative
1194.76,10.1,Negative
1195.77,10.1,Negative
1196.76,10.1,Negative
61.01,0.3,Positive
68.99,12.8,Positive
69.99,8.7,Positive
70.06,0.4,Positive
70.96,12.8,Positive
72.07,0.4,Positive
72.94,12.8,Positive
73.53,0.3,Positive
75.01,0.5,Positive
80.05,0.4,Positive
80.95,12,Positive
81.52,12.8,Positive
82.02,0.3,Positive
82.54,12.7,Positive
82.95,12,Positive
83.03,0.3,Positive
84.04,0.4,Positive
84.96,0.3,Positive
84.96,12.8,Positive
86.09,0.4,Positive
87.04,0.4,Positive
88.02,0.3,Positive
88.51,12.8,Positive
88.96,0.3,Positive
89.51,12.8,Positive
89.51,8.7,Positive
90.05,6.3,Positive
90.51,8.7,Positive
90.98,11.9,Positive
90.95,12.8,Positive
91.06,6.7,Positive
91.51,8.7,Positive
92.5,8.7,Positive
93.51,8.7,Positive
94.05,12.7,Positive
95.09,9.1,Positive
95.98,12.8,Positive
96.96,12.8,Positive
97.1,9.1,Positive
97.97,12.8,Positive
98.07,0.4,Positive
98.51,8.7,Positive
98.96,12.2,Positive
99.09,0.4,Positive
99.51,8.7,Positive
99.97,12.2,Positive
100.04,0.3,Positive
100.51,8.7,Positive
100.96,12.2,Positive
101.1,0.4,Positive
101.51,8.7,Positive
102.13,11.7,Positive
102.03,12.8,Positive
102.97,0.3,Positive
102.95,12.2,Positive
102.95,12.8,Positive
103.13,11.7,Positive
103.96,8.9,Positive
105.95,9,Positive
106.06,0.4,Positive
107.54,0.8,Positive
107.97,11.9,Positive
108.52,8.7,Positive
109.02,12.8,Positive
109.52,8.7,Positive
110.01,0.3,Positive
110.01,12.7,Positive
111.07,0.4,Positive
111.02,8.7,Positive
111.99,12.8,Positive
112.08,0.4,Positive
112.02,8.7,Positive
112.98,12.8,Positive
113.08,0.4,Positive
113.02,8.7,Positive
113.96,12.8,Positive
114.09,9.6,Positive
114.97,12.8,Positive
115.07,0.4,Positive
115.98,12.8,Positive
115.97,8.7,Positive
116.97,12.2,Positive
117.96,12.2,Positive
117.96,8.7,Positive
118.97,12.2,Positive
118.94,12.8,Positive
119.09,5.7,Positive
120.08,0.6,Positive
120.97,12.2,Positive
121.1,8,Positive
121.08,0.5,Positive
121.09,9.1,Positive
122.08,0.4,Positive
123.04,2.1,Positive
123.04,0.3,Positive
123.04,12.7,Positive
123.51,3.1,Positive
124.04,0.3,Positive
124.03,12.7,Positive
124.96,12.8,Positive
125.08,9,Positive
125.99,0.3,Positive
125.99,12.8,Positive
126.96,12.8,Positive
126.98,0.3,Positive
128.02,12.7,Positive
128.02,0.3,Positive
128.11,9.1,Positive
128.95,12.8,Positive
129.07,0.4,Positive
129.96,12.8,Positive
130.03,0.4,Positive
130.97,12.8,Positive
131.53,8.7,Positive
131.98,12.8,Positive
132.1,0.5,Positive
132.14,11.6,Positive
132.53,8.7,Positive
132.98,0.3,Positive
133.93,12.2,Positive
134.01,0.3,Positive
134.1,2.3,Positive
135,11.9,Positive
135.08,5.7,Positive
135.12,8,Positive
135.12,9.1,Positive
135.93,12.2,Positive
136.07,0.4,Positive
137.09,0.4,Positive
137.12,9.1,Positive
137.97,12.8,Positive
139,12.8,Positive
139.12,1.6,Positive
139.99,8.7,Positive
139.99,12.2,Positive
141,12.2,Positive
141.08,0.4,Positive
141.96,12.8,Positive
142.09,0.4,Positive
142.12,9.1,Positive
142.96,12.8,Positive
142.99,12.2,Positive
143.09,3.6,Positive
143.09,0.4,Positive
143.09,1,Positive
143.96,12.2,Positive
144,0.3,Positive
145,12.7,Positive
144.98,8.9,Positive
145.05,0.3,Positive
145.96,12.2,Positive
145.97,12.8,Positive
146.1,0.4,Positive
146.96,12.8,Positive
146.91,9.4,Positive
146.91,12,Positive
147.07,0.3,Positive
147.93,9,Positive
147.95,12.2,Positive
148.05,0.4,Positive
148.48,12.8,Positive
148.92,12,Positive
149.04,3.1,Positive
149.11,9.1,Positive
149.07,5.6,Positive
149.93,8.9,Positive
149.95,12.8,Positive
150.04,3.1,Positive
150.11,11.9,Positive
150.08,0.4,Positive
151.04,0.3,Positive
151.04,12.7,Positive
151.1,7.4,Positive
152.04,0.3,Positive
152.04,12.7,Positive
153.04,0.3,Positive
153.01,12.8,Positive
153.12,8,Positive
153.1,9.1,Positive
153.1,2.5,Positive
154.08,0.4,Positive
154.01,12.7,Positive
155,12.8,Positive
155.09,0.4,Positive
156,12.1,Positive
156.08,0.4,Positive
156.01,12.8,Positive
156.11,1.2,Positive
156.14,9.1,Positive
157.1,2.4,Positive
157.01,12.8,Positive
157.08,0.8,Positive
157.99,12.2,Positive
158.06,0.3,Positive
158.15,4.7,Positive
158.16,8.9,Positive
158.97,11.9,Positive
159.09,0.4,Positive
159.09,2.3,Positive
159.16,4.7,Positive
159.97,12.8,Positive
160.11,0.4,Positive
160.97,12.8,Positive
161.07,7.8,Positive
161.1,0.4,Positive
161.97,12.2,Positive
163.04,4,Positive
163.03,12.7,Positive
163.15,8,Positive
163.14,9.1,Positive
163.97,12.2,Positive
163.99,8.7,Positive
164.09,0.4,Positive
164.16,8,Positive
164.16,9.1,Positive
164.93,11.9,Positive
165.12,8.9,Positive
165.07,0.4,Positive
165.98,12.8,Positive
165.99,8.7,Positive
166.09,0.6,Positive
167.02,0.3,Positive
167.08,3,Positive
167.07,5.6,Positive
167.01,12.8,Positive
167.16,2.5,Positive
167.14,8,Positive
167.99,8.7,Positive
168.1,0.4,Positive
168.01,12.8,Positive
168.98,12.7,Positive
169.03,3.1,Positive
169.09,0.5,Positive
169.03,1.2,Positive
169.98,12.8,Positive
170.09,0.3,Positive
170.15,9.1,Positive
171,12.8,Positive
171.1,0.4,Positive
171.11,1.2,Positive
171.14,8,Positive
171.16,9.1,Positive
172.1,11.9,Positive
172.06,0.3,Positive
172.16,5.2,Positive
172.17,8.9,Positive
172.99,12.8,Positive
173.1,0.4,Positive
173.18,5.2,Positive
173.17,2.1,Positive
174.13,0.3,Positive
174.02,12.7,Positive
174.95,12.2,Positive
174.91,9.4,Positive
175.12,0.3,Positive
175.96,12,Positive
176.12,2.3,Positive
176.04,12.7,Positive
176.95,12.2,Positive
177,0.3,Positive
177.03,3.1,Positive
177.12,2.3,Positive
177.04,5,Positive
177.16,8,Positive
177.16,9.1,Positive
177.98,12.8,Positive
177.95,0.7,Positive
178.12,2.3,Positive
178.9,9.3,Positive
178.99,12.8,Positive
178.91,12,Positive
179.1,0.4,Positive
179.99,12.8,Positive
180.11,0.4,Positive
180.18,8.9,Positive
180.99,12.8,Positive
181.1,0.4,Positive
181.16,8,Positive
181.16,9.1,Positive
181.99,12.6,Positive
182.08,0.4,Positive
182.19,3,Positive
182.19,9,Positive
182.99,12.8,Positive
183.1,0.4,Positive
183.99,12.8,Positive
184.12,3.6,Positive
184.09,9.1,Positive
184.99,12.2,Positive
185.12,3.1,Positive
185.1,0.4,Positive
185.16,8,Positive
185.13,2.2,Positive
185.17,9.1,Positive
185.99,12.8,Positive
186.12,0.4,Positive
186.19,5.6,Positive
186.22,3.5,Positive
186.98,12.2,Positive
187.09,0.4,Positive
187.18,2.8,Positive
187.99,12.2,Positive
188.11,0.4,Positive
188.07,1.1,Positive
188.98,12.2,Positive
188.96,8.9,Positive
189.12,7.6,Positive
189.12,0.4,Positive
190.08,0.4,Positive
190.07,3.1,Positive
190.1,1.7,Positive
190.96,8.9,Positive
191.1,3.1,Positive
191.18,7.2,Positive
191.94,12.8,Positive
192.13,0.4,Positive
192.07,3.1,Positive
192.18,9.1,Positive
192.19,7.2,Positive
192.92,12,Positive
193.1,0.4,Positive
193.11,3.2,Positive
193.16,8.9,Positive
193.93,12.8,Positive
194.13,0.4,Positive
194.16,8.9,Positive
195.04,12.7,Positive
195.1,5.6,Positive
195.11,0.8,Positive
195.17,8,Positive
195.17,9.1,Positive
196.16,6,Positive
196.13,0.4,Positive
197.04,12.7,Positive
197.13,1.7,Positive
197.16,8.9,Positive
198.11,0.4,Positive
198.04,12.7,Positive
198.19,4.6,Positive
198.19,9.1,Positive
198.13,1.7,Positive
198.96,0.3,Positive
199.15,2.6,Positive
199.19,9.1,Positive
199.17,8,Positive
199.14,1.9,Positive
200.12,0.4,Positive
200.2,6.1,Positive
201.01,12.8,Positive
201.12,0.4,Positive
201.2,3.2,Positive
201.19,6.1,Positive
202.12,0.4,Positive
202.01,12.8,Positive
202.22,11.6,Positive
202.89,12.8,Positive
203.11,0.4,Positive
204,12.8,Positive
204.1,9,Positive
204.96,9.4,Positive
204.96,12,Positive
205.09,6.7,Positive
205.09,0.4,Positive
205.1,1.7,Positive
205.19,7.6,Positive
205.96,9.4,Positive
205.97,12,Positive
206.11,0.4,Positive
206.9,12,Positive
207.12,8.9,Positive
207.2,8,Positive
208.11,0.4,Positive
208.14,9,Positive
209.1,0.5,Positive
209.01,8.7,Positive
209.19,7.2,Positive
209.16,4.3,Positive
209.17,9.1,Positive
210.16,0.7,Positive
210.98,11.9,Positive
210.92,0.7,Positive
211.15,2.6,Positive
211.13,4.1,Positive
211.17,8.9,Positive
211.62,5,Positive
212.14,0.4,Positive
212.16,2.6,Positive
212.2,9.1,Positive
212.9,12,Positive
213.01,0.4,Positive
213.11,4.1,Positive
213.16,3.1,Positive
213.19,9.1,Positive
214.04,12.8,Positive
214.25,5.4,Positive
214.14,0.4,Positive
214.18,8.9,Positive
214.21,6.4,Positive
214.9,12,Positive
215.06,12.7,Positive
215.13,2.3,Positive
215.21,6.4,Positive
215.13,0.4,Positive
215.26,5.4,Positive
215.9,12,Positive
216.13,0.4,Positive
216.06,12.7,Positive
216.92,12,Positive
217.12,0.5,Positive
217.11,8.9,Positive
217.19,6.3,Positive
217.15,2.2,Positive
217.92,12,Positive
217.97,3.6,Positive
218.05,0.4,Positive
218.2,3.5,Positive
218.92,12,Positive
219.02,12.8,Positive
219.09,0.4,Positive
219.21,9.1,Positive
219.21,8,Positive
220.11,0.4,Positive
220.04,12.7,Positive
220.21,8,Positive
220.92,12,Positive
221.1,0.4,Positive
221.2,9.1,Positive
222.12,0.4,Positive
223.09,4.8,Positive
223.11,0.5,Positive
223.2,9.1,Positive
223.18,7.6,Positive
224,0.3,Positive
224.17,7.6,Positive
224.18,2.1,Positive
225.12,2.1,Positive
225.02,0.3,Positive
225.22,8,Positive
225.91,12.7,Positive
226.05,0.3,Positive
226.2,9.1,Positive
226.95,11.9,Positive
227.09,0.5,Positive
227.18,3.5,Positive
227.2,6.9,Positive
227.2,9.1,Positive
227.96,11.9,Positive
227.94,12.7,Positive
228.13,0.4,Positive
228.23,7,Positive
228.2,8.9,Positive
228.26,5.4,Positive
228.9,12.8,Positive
229.12,0.4,Positive
229.12,1.5,Positive
229.15,2.2,Positive
229.16,1,Positive
229.23,7,Positive
229.14,12,Positive
229.26,5.4,Positive
229.91,12.7,Positive
229.99,0.4,Positive
230.25,11.6,Positive
230.25,5.1,Positive
230.89,12.8,Positive
231.1,0.4,Positive
231.17,1.5,Positive
231.17,1,Positive
231.25,11.6,Positive
231.17,2.7,Positive
231.94,12.8,Positive
232.09,7.9,Positive
232.16,2.7,Positive
232.14,0.4,Positive
232.91,11.9,Positive
233.12,4.1,Positive
233.12,0.4,Positive
233.2,8.3,Positive
233.2,9.1,Positive
233.91,12,Positive
233.99,0.8,Positive
234.1,8.9,Positive
234.97,12,Positive
235.11,0.4,Positive
235.18,6.3,Positive
235.63,8.1,Positive
236.12,0.4,Positive
236.17,6.3,Positive
236.16,9,Positive
237.12,0.4,Positive
237.12,2,Positive
237.22,8,Positive
238.12,0.5,Positive
238.22,8,Positive
238.91,12.1,Positive
239.11,0.4,Positive
239.24,8.1,Positive
239.98,0.3,Positive
240.23,5,Positive
240.23,9.1,Positive
240.9,12.1,Positive
241,0.3,Positive
241.21,5.1,Positive
241.21,7.6,Positive
241.22,9.1,Positive
241.88,12.8,Positive
242.17,0.6,Positive
242.25,7.3,Positive
242.28,6.1,Positive
242.89,12.8,Positive
243.02,12.1,Positive
243.13,2.5,Positive
243.25,7.3,Positive
243.14,0.9,Positive
243.92,12,Positive
243.88,8.6,Positive
244.11,0.3,Positive
244.22,5.8,Positive
244.26,7.3,Positive
245.13,0.4,Positive
245.08,5,Positive
245.19,2.4,Positive
245.23,8.2,Positive
245.18,3.1,Positive
245.88,12.2,Positive
245.88,8.6,Positive
246.08,5,Positive
246.19,2.4,Positive
246.13,2.9,Positive
246.15,0.4,Positive
246.24,4.3,Positive
246.86,12.8,Positive
247.13,0.4,Positive
247.13,1,Positive
247.6,5.6,Positive
247.89,12.8,Positive
248.11,0.4,Positive
248.9,12.8,Positive
249.1,0.5,Positive
249.19,6.4,Positive
249.25,11.7,Positive
249.14,8.8,Positive
249.92,12,Positive
250.1,7.9,Positive
250.12,0.4,Positive
250.18,4.7,Positive
250.18,9,Positive
250.87,12.2,Positive
251.06,7.6,Positive
251.11,0.5,Positive
251.2,9.1,Positive
251.23,8.3,Positive
252.16,9,Positive
252.14,0.4,Positive
252.22,8.3,Positive
252.88,9.2,Positive
253.04,0.6,Positive
253.22,6.9,Positive
253.24,12,Positive
253.22,6.4,Positive
253.26,8.7,Positive
253.94,12.7,Positive
254.16,0.4,Positive
254.25,7.3,Positive
254.25,9.1,Positive
254.26,6,Positive
254.92,12.8,Positive
255.16,0.4,Positive
255.25,7.3,Positive
255.23,8,Positive
255.25,9.1,Positive
255.95,0.3,Positive
256.09,12.7,Positive
256.26,7.8,Positive
256.94,12.7,Positive
257.1,0.4,Positive
257.12,5.4,Positive
257.19,8.4,Positive
257.19,6.4,Positive
257.26,7.8,Positive
257.94,12.7,Positive
258.25,6,Positive
258.15,0.4,Positive
258.27,7.8,Positive
258.28,11.6,Positive
258.89,12.9,Positive
259.06,0.3,Positive
259.21,7.5,Positive
259.18,9,Positive
259.89,12.8,Positive
260.21,7.5,Positive
260.16,0.4,Positive
260.91,12.8,Positive
260.99,3.1,Positive
261.14,0.4,Positive
261.16,3.6,Positive
261.24,9.1,Positive
261.13,0.9,Positive
261.94,12.8,Positive
262.16,3.6,Positive
262.15,0.4,Positive
262.27,9.1,Positive
262.99,3.1,Positive
263.12,0.4,Positive
263.14,2.4,Positive
263.24,6.8,Positive
263.24,8.2,Positive
263.27,11.7,Positive
263.98,3.1,Positive
264.12,0.4,Positive
264.23,8.2,Positive
264.16,9,Positive
264.13,1.3,Positive
264.91,12,Positive
265.04,0.3,Positive
265.12,2.1,Positive
265.25,8.6,Positive
265.68,2,Positive
265.89,12.2,Positive
265.97,1.2,Positive
266.08,0.3,Positive
266.17,4.3,Positive
266.19,8.6,Positive
267.08,0.4,Positive
267.27,8.7,Positive
267.26,12,Positive
268.18,4.7,Positive
268.14,0.4,Positive
268.26,7.6,Positive
268.26,9.1,Positive
268.26,5.8,Positive
268.83,12,Positive
269.25,8.3,Positive
269.14,0.4,Positive
269.27,9.1,Positive
269.26,5.8,Positive
269.93,12.8,Positive
270.11,0.4,Positive
270.19,0.9,Positive
270.28,8,Positive
270.98,11.9,Positive
270.91,12.8,Positive
271.1,4.6,Positive
271.18,0.3,Positive
271.27,8,Positive
271.28,5,Positive
271.92,12.8,Positive
272.22,6.3,Positive
272.16,0.4,Positive
272.26,5.2,Positive
272.94,11.9,Positive
272.94,9.3,Positive
272.92,12.8,Positive
273.11,4.8,Positive
273.12,0.4,Positive
273.17,3,Positive
273.19,6.8,Positive
273.95,12.7,Positive
273.94,11.9,Positive
274.19,6.8,Positive
274.17,0.4,Positive
274.27,5.1,Positive
275.11,12.6,Positive
275.16,0.4,Positive
275.27,8.6,Positive
275.28,5.1,Positive
275.26,7.3,Positive
275.9,12.8,Positive
276.15,0.4,Positive
276.27,5.1,Positive
276.27,8.6,Positive
276.26,7.3,Positive
276.9,12.8,Positive
277.03,3.1,Positive
277.01,11.9,Positive
277.19,6.6,Positive
277.15,2.5,Positive
277.13,0.4,Positive
277.91,12.8,Positive
277.91,12,Positive
