mz,rt,mode
240.13,1.3,Negative
240.93,12,Negative
241.18,5.4,Negative
241.12,2.4,Negative
241.22,7.9,Negative
241.9,0.5,Negative
242.12,4.8,Negative
242.18,4.2,Negative
242.12,2.4,Negative
242.94,12.7,Negative
242.93,0.3,Negative
243.17,2.3,Negative
243.17,3,Negative
243.09,0.4,Negative
243.96,12.1,Negative
243.93,9.7,Negative
244.18,2.3,Negative
244.12,2.9,Negative
244.13,0.4,Negative
245.07,0.3,Negative
246.07,0.3,Negative
246.86,0.5,Negative
247.1,0.3,Negative
247.84,0.5,Negative
248.96,11.9,Negative
249.06,0.5,Negative
249.16,6.2,Negative
249.15,6.9,Negative
249.98,12.8,Negative
250.14,6.8,Negative
251.13,6.2,Negative
251.21,7.5,Negative
251.09,4.4,Negative
252.04,11.7,Negative
252.1,0.3,Negative
253.05,11.7,Negative
253.22,7.8,Negative
254.08,0.4,Negative
254.22,7.8,Negative
255.2,5.8,Negative
255.23,8.3,Negative
255.9,12.1,Negative
256.19,5.9,Negative
256.08,0.4,Negative
256.85,8.7,Negative
257.09,0.4,Negative
257.21,5.8,Negative
257.84,8.7,Negative
258.13,0.4,Negative
258.11,3,Negative
259.12,0.4,Negative
259.13,1.3,Negative
259.95,0.4,Negative
260.1,0.4,Negative
260.47,6.8,Negative
261.09,0.3,Negative
261.09,1.9,Negative
261.46,6.8,Negative
262.04,0.4,Negative
262.44,6.8,Negative
262.86,12.8,Negative
263.16,5.6,Negative
263.13,6.1,Negative
264.17,5.6,Negative
264.13,6.1,Negative
264.08,0.4,Negative
265.15,6.8,Negative
265.95,12,Negative
265.94,3.2,Negative
266.15,6.8,Negative
266.1,5.6,Negative
266.93,3.2,Negative
267.15,6.8,Negative
267.23,8.2,Negative
267.93,8.9,Negative
268.15,6.8,Negative
268.23,8.2,Negative
269.16,6.9,Negative
269.21,6.3,Negative
269.27,8.5,Negative
270.01,0.4,Negative
270.02,6.8,Negative
270.21,6.3,Negative
270.27,8.5,Negative
270.88,0.4,Negative
271.22,6.2,Negative
272.07,0.4,Negative
272.23,6.6,Negative
272.96,0.3,Negative
273.21,8.2,Negative
273.57,6.8,Negative
273.98,0.3,Negative
274.97,0.3,Negative
275.11,2.6,Negative
275.17,7.6,Negative
275.95,0.3,Negative
275.91,12.7,Negative
276.17,6.9,Negative
277.15,2.6,Negative
277.17,5.9,Negative
278.18,5.9,Negative
278.86,12.9,Negative
279.19,8,Negative
280.2,8,Negative
281.13,4.2,Negative
281.25,8.4,Negative
282.04,0.5,Negative
282.15,4.2,Negative
282.25,8.4,Negative
283.26,8.9,Negative
283.23,6.6,Negative
284.14,0.4,Negative
284.22,6.7,Negative
284.84,8.8,Negative
285.19,4.8,Negative
285.22,7.7,Negative
285.27,6.6,Negative
286.04,0.4,Negative
287.22,5.6,Negative
288,10.1,Negative
288.01,0.4,Negative
288.22,5.5,Negative
288.94,0.3,Negative
289.1,4.6,Negative
289.94,0.3,Negative
290.94,0.3,Negative
291.16,7.6,Negative
291.87,0.5,Negative
291.88,12.8,Negative
292.17,7.6,Negative
292.45,10.2,Negative
292.91,0.3,Negative
293.18,10.1,Negative
294.18,10.1,Negative
294.94,12,Negative
294.93,3.2,Negative
295.18,10.1,Negative
296.18,10.1,Negative
296.1,0.4,Negative
296.89,12.1,Negative
297.23,10.1,Negative
297.24,6.7,Negative
298.24,7,Negative
298.43,10.1,Negative
298.89,12.1,Negative
298.89,9.4,Negative
299.26,7,Negative
299.92,3,Negative
300.05,0.4,Negative
300.26,7.1,Negative
300.98,11.9,Negative
301.15,0.4,Negative
301.26,8.8,Negative
301.9,1.1,Negative
301.92,1.9,Negative
302.1,0.4,Negative
303.1,0.4,Negative
303.2,11.1,Negative
303.91,1.1,Negative
304.01,3.6,Negative
304.07,11.7,Negative
304.11,0.4,Negative
304.2,11.1,Negative
304.92,0.3,Negative
304.89,12.7,Negative
305.07,11.7,Negative
305.25,8.3,Negative
305.9,0.3,Negative
306.25,8.3,Negative
306.82,9.1,Negative
306.92,12,Negative
307.16,7.1,Negative
307.19,11.3,Negative
307.86,0.1,Negative
307.84,12.8,Negative
308.19,11.3,Negative
308.28,8.6,Negative
308.92,12,Negative
309.17,8,Negative
309.86,12.8,Negative
309.98,3,Negative
310.18,8,Negative
310.99,0.4,Negative
311.17,7.9,Negative
311.93,1.1,Negative
312.09,0.4,Negative
312.22,7.5,Negative
312.84,9,Negative
313.26,7.5,Negative
313.24,5.6,Negative
313.84,9,Negative
314.07,0.4,Negative
314.23,6.4,Negative
315.25,6,Negative
316.15,0.4,Negative
316.26,6,Negative
316.95,11.9,Negative
317.16,6.8,Negative
317.17,0.4,Negative
317.96,11.9,Negative
318.09,0.4,Negative
318.17,6.9,Negative
318.26,5,Negative
319.19,10.9,Negative
319.81,12.3,Negative
320.07,0.4,Negative
321.2,7.9,Negative
321.21,11.9,Negative
322.21,11.9,Negative
322.21,7.8,Negative
323.2,11.9,Negative
323.11,6.9,Negative
323.19,10.2,Negative
324.19,10.2,Negative
324.19,11.9,Negative
324.26,7.3,Negative
