ID,log2FC,FDR,label
ENSMUSG00000020646,-6.32E-01,4.06E-01,
ENSMUSG00000020652,-6.48E-01,1.43E-01,
ENSMUSG00000020661,1.21E+00,3.13E-01,
ENSMUSG00000020668,-5.95E-01,4.21E-01,
ENSMUSG00000020671,4.54E-02,9.65E-01,
ENSMUSG00000020686,-5.04E+00,4.01E-01,
ENSMUSG00000020712,6.87E-01,4.47E-01,
ENSMUSG00000020716,-1.18E+00,5.32E-01,
ENSMUSG00000020721,2.19E-01,8.73E-01,
ENSMUSG00000020732,-1.02E-01,6.25E-01,
ENSMUSG00000020740,-5.94E-02,9.02E-01,
ENSMUSG00000020743,-8.65E-02,9.51E-01,
ENSMUSG00000020744,-4.63E-02,9.78E-01,
ENSMUSG00000020775,-2.54E-01,5.05E-01,
ENSMUSG00000020776,-2.49E-01,7.77E-01,
ENSMUSG00000020777,-5.67E-01,6.15E-01,
ENSMUSG00000020778,5.98E-01,4.21E-01,
ENSMUSG00000020783,3.44E-02,9.70E-01,
ENSMUSG00000020790,-2.11E+00,1.06E-01,
ENSMUSG00000020793,4.64E-01,2.49E-03,
ENSMUSG00000020810,-2.30E-01,8.91E-01,
ENSMUSG00000020828,-6.36E-01,2.59E-03,
ENSMUSG00000020848,-7.47E-01,2.52E-01,
ENSMUSG00000020849,6.44E-01,3.07E-01,
ENSMUSG00000020859,-3.64E-01,6.80E-01,
ENSMUSG00000020866,1.23E-01,8.70E-01,
ENSMUSG00000020868,1.11E+00,1.67E-01,
ENSMUSG00000020873,5.08E-01,3.51E-01,
ENSMUSG00000020883,-5.36E-01,6.78E-01,
ENSMUSG00000020887,-5.87E-01,6.89E-01,
ENSMUSG00000020888,-7.35E-01,6.52E-01,
ENSMUSG00000020890,-2.64E-01,4.88E-01,
ENSMUSG00000020918,1.42E+00,9.08E-03,
ENSMUSG00000020923,-8.40E-01,2.23E-01,
ENSMUSG00000020941,-2.49E-02,9.63E-01,
ENSMUSG00000020948,-7.22E-01,5.34E-01,
ENSMUSG00000020952,-2.90E-01,7.65E-01,
ENSMUSG00000020954,-6.71E-01,5.01E-01,
ENSMUSG00000020962,3.76E-01,2.69E-01,
ENSMUSG00000020964,3.83E-01,3.50E-01,
ENSMUSG00000020982,2.23E-01,3.03E-01,
ENSMUSG00000021000,-6.60E-01,4.33E-01,
ENSMUSG00000021003,6.16E-01,5.67E-04,
ENSMUSG00000021027,-9.78E-01,4.50E-01,
ENSMUSG00000021036,-7.20E-01,2.67E-01,
ENSMUSG00000021037,-1.32E+00,1.49E-01,
ENSMUSG00000021057,-2.95E-01,7.65E-01,
ENSMUSG00000021066,2.59E-01,3.12E-01,
ENSMUSG00000021067,1.86E-01,4.88E-01,
ENSMUSG00000021068,-1.13E-01,9.30E-01,
ENSMUSG00000021076,-1.33E-01,6.87E-01,
ENSMUSG00000021097,-4.72E-01,6.59E-01,
ENSMUSG00000021103,-5.27E-01,3.07E-01,
ENSMUSG00000021112,1.40E-01,5.01E-01,
ENSMUSG00000021114,1.28E-01,8.81E-01,
ENSMUSG00000021123,9.27E-01,2.49E-01,
ENSMUSG00000021131,1.40E-02,9.72E-01,
ENSMUSG00000021143,-2.22E-02,9.89E-01,
ENSMUSG00000021147,-1.16E+00,6.94E-02,
ENSMUSG00000021156,3.96E-01,7.98E-01,
ENSMUSG00000021171,1.40E+00,9.99E-02,
ENSMUSG00000021182,-2.62E-01,5.69E-01,
ENSMUSG00000021189,-2.08E-01,5.56E-01,
ENSMUSG00000021196,-1.62E+00,4.95E-02,
ENSMUSG00000021208,-6.60E-01,2.85E-02,
ENSMUSG00000021218,-8.91E-01,4.48E-02,
ENSMUSG00000021223,-1.40E+00,3.74E-01,
ENSMUSG00000021235,5.42E-01,4.09E-02,
ENSMUSG00000021244,9.23E-01,1.44E-01,
ENSMUSG00000021245,5.21E-01,5.41E-01,
ENSMUSG00000021254,4.24E-01,2.06E-01,
ENSMUSG00000021263,-1.10E+00,3.58E-01,
ENSMUSG00000021264,-1.05E+00,3.74E-01,
ENSMUSG00000021265,2.12E-01,8.80E-01,
ENSMUSG00000021266,5.79E-01,6.15E-01,
ENSMUSG00000021275,-3.05E-01,7.90E-01,
ENSMUSG00000021277,-4.79E-02,9.66E-01,
ENSMUSG00000021279,-1.74E-01,6.76E-01,
ENSMUSG00000021285,5.85E-01,1.38E-01,
ENSMUSG00000021286,4.01E-01,6.30E-01,
ENSMUSG00000021288,-7.75E-01,4.81E-01,
ENSMUSG00000021298,7.08E-01,1.76E-01,
ENSMUSG00000021303,1.65E-01,8.57E-01,
ENSMUSG00000021311,1.39E+00,7.85E-02,
ENSMUSG00000021319,-1.99E+00,4.97E-01,
ENSMUSG00000021336,-5.04E+00,4.01E-01,
ENSMUSG00000021364,-1.17E+00,4.43E-01,
ENSMUSG00000021365,-1.43E+00,3.58E-01,
ENSMUSG00000021384,1.62E-01,7.99E-01,
ENSMUSG00000021448,-4.30E-02,9.53E-01,
ENSMUSG00000021482,-4.86E-01,1.27E-01,
ENSMUSG00000021484,-2.63E+00,2.81E-03,
ENSMUSG00000021486,2.36E+00,5.72E-02,
ENSMUSG00000021488,5.67E-01,9.84E-06,
ENSMUSG00000021490,-1.82E-01,8.46E-01,
ENSMUSG00000021493,-1.12E+00,4.99E-01,
ENSMUSG00000021495,2.61E-01,3.86E-02,
ENSMUSG00000021509,-1.47E+00,1.26E-03,
ENSMUSG00000021519,7.38E-02,9.34E-01,
ENSMUSG00000021552,4.86E-02,9.53E-01,
ENSMUSG00000021555,-5.04E-01,1.41E-04,
ENSMUSG00000021556,-9.75E-01,5.03E-02,
ENSMUSG00000021557,-1.28E+00,1.39E-02,
ENSMUSG00000021572,-5.25E-01,6.83E-01,
ENSMUSG00000021573,-9.25E-02,9.35E-01,
ENSMUSG00000021575,3.07E-01,2.11E-01,
ENSMUSG00000021579,-1.45E+00,2.08E-01,
ENSMUSG00000021589,2.24E-01,5.49E-01,
ENSMUSG00000021611,-2.23E+00,3.24E-02,
ENSMUSG00000021612,1.16E+00,8.84E-03,
ENSMUSG00000021613,-5.06E+00,2.22E-04,
ENSMUSG00000021638,-1.17E+00,4.04E-01,
ENSMUSG00000021707,8.10E-01,2.57E-08,
ENSMUSG00000021710,-9.59E-01,1.30E-01,
ENSMUSG00000021758,-4.81E-01,7.23E-01,
ENSMUSG00000021767,-6.20E-02,8.68E-01,
ENSMUSG00000021770,4.56E-01,1.99E-04,
ENSMUSG00000021807,6.59E-01,2.81E-02,
ENSMUSG00000021809,9.02E-01,5.61E-01,
ENSMUSG00000021810,9.32E-01,1.00E-02,
ENSMUSG00000021814,8.81E-01,9.32E-02,
ENSMUSG00000021816,-6.95E-01,1.88E-01,
ENSMUSG00000021819,-2.33E-01,8.28E-01,
ENSMUSG00000021830,-5.81E-01,7.44E-01,
ENSMUSG00000021840,-7.86E-01,6.03E-01,
ENSMUSG00000021866,-9.04E-02,9.42E-01,
ENSMUSG00000021868,9.52E-01,9.08E-03,
ENSMUSG00000021891,-6.24E-01,3.10E-02,
ENSMUSG00000021903,5.75E-01,1.22E-02,
ENSMUSG00000021929,-9.83E-01,1.48E-07,
ENSMUSG00000021936,-8.57E-01,2.23E-01,
ENSMUSG00000021938,-1.28E-01,7.27E-01,
ENSMUSG00000021947,8.68E-01,7.58E-02,
ENSMUSG00000022016,3.21E-02,9.72E-01,
ENSMUSG00000022020,-4.32E-01,4.74E-02,
ENSMUSG00000022061,-7.05E-01,7.05E-01,
ENSMUSG00000022066,-2.13E-01,7.91E-01,
ENSMUSG00000022106,-1.25E+00,1.82E-01,
ENSMUSG00000022120,-8.30E-01,7.58E-02,
ENSMUSG00000022142,-8.51E-01,2.45E-01,
ENSMUSG00000022148,7.12E-01,2.34E-01,
ENSMUSG00000022177,-1.77E+00,3.77E-08,
ENSMUSG00000022185,7.78E-01,1.31E-02,
ENSMUSG00000022191,3.41E-01,6.62E-01,
ENSMUSG00000022195,4.68E-01,2.84E-03,
ENSMUSG00000022197,-3.64E+00,9.46E-11,
ENSMUSG00000022200,-2.56E-02,8.97E-01,
ENSMUSG00000022201,-1.61E-01,5.11E-01,
ENSMUSG00000022205,6.03E-01,1.85E-03,
ENSMUSG00000022211,4.61E-02,8.97E-01,
ENSMUSG00000022212,-5.14E-02,9.64E-01,
ENSMUSG00000022234,7.60E-01,2.05E-01,
ENSMUSG00000022237,4.16E-01,1.55E-04,
ENSMUSG00000022241,5.37E-03,9.88E-01,
ENSMUSG00000022244,2.04E-01,7.87E-01,
ENSMUSG00000022246,-6.35E-01,2.17E-02,
ENSMUSG00000022247,4.04E-01,2.94E-01,
ENSMUSG00000022248,2.17E-01,7.39E-01,
ENSMUSG00000022253,-4.92E-01,1.27E-02,
ENSMUSG00000022255,3.92E-01,2.16E-04,
ENSMUSG00000022257,7.39E-01,9.94E-02,
ENSMUSG00000022261,2.04E+00,1.92E-01,
ENSMUSG00000022263,6.02E-01,5.08E-03,
ENSMUSG00000022265,-3.73E-01,1.78E-01,
ENSMUSG00000022270,-1.06E-01,5.02E-01,
ENSMUSG00000022272,2.50E-01,3.05E-01,
ENSMUSG00000022280,-2.80E-01,1.50E-01,
ENSMUSG00000022283,6.98E-01,1.93E-08,
ENSMUSG00000022285,-3.41E-01,4.25E-02,
ENSMUSG00000022292,5.61E-01,1.22E-03,
ENSMUSG00000022295,6.74E-01,5.99E-09,
ENSMUSG00000022323,-1.40E-01,8.66E-01,
ENSMUSG00000022325,-2.19E-01,7.97E-01,
ENSMUSG00000022329,-6.56E-02,8.44E-01,
ENSMUSG00000022353,6.33E-01,3.52E-01,
ENSMUSG00000022358,5.12E-01,5.52E-01,
ENSMUSG00000022360,2.46E+00,5.34E-13,
ENSMUSG00000022362,2.90E-01,5.11E-01,
ENSMUSG00000022364,-6.20E-01,1.59E-01,
ENSMUSG00000022377,-1.20E+00,2.20E-02,
ENSMUSG00000022389,3.95E-01,7.68E-01,
ENSMUSG00000022390,-5.44E-01,7.13E-01,
ENSMUSG00000022391,-1.19E+00,3.81E-01,
ENSMUSG00000022401,-7.91E-01,3.96E-01,
ENSMUSG00000022412,8.07E-01,4.88E-02,
ENSMUSG00000022415,1.26E+00,1.33E-02,
ENSMUSG00000022416,5.24E-01,4.73E-01,
ENSMUSG00000022421,3.27E-01,1.31E-02,
ENSMUSG00000022432,7.43E-02,8.42E-01,
ENSMUSG00000022433,5.07E-01,5.46E-01,
ENSMUSG00000022434,-8.89E-02,6.52E-01,
ENSMUSG00000022442,4.78E-01,4.42E-03,
ENSMUSG00000022456,6.02E-01,1.01E-01,
ENSMUSG00000022462,-1.91E-01,8.48E-01,
ENSMUSG00000022477,7.66E-02,9.58E-01,
ENSMUSG00000022491,1.14E-01,9.53E-01,
ENSMUSG00000022500,-1.61E+00,2.76E-07,
ENSMUSG00000022507,5.41E-01,4.11E-01,
ENSMUSG00000022515,1.14E-01,8.12E-01,
ENSMUSG00000022518,2.84E-01,6.66E-01,
ENSMUSG00000022521,1.40E-01,5.10E-01,
ENSMUSG00000022526,1.84E+00,1.81E-10,
ENSMUSG00000022536,-2.70E-01,8.73E-01,
ENSMUSG00000022538,-2.23E+00,1.92E-01,
ENSMUSG00000022543,2.08E+00,1.93E-02,
ENSMUSG00000022551,-1.80E-01,9.30E-01,
ENSMUSG00000022552,-1.07E+00,1.62E-07,
ENSMUSG00000022553,-1.34E+00,1.92E-02,
ENSMUSG00000022556,1.65E-01,8.41E-01,
ENSMUSG00000022557,1.08E+00,3.02E-01,
ENSMUSG00000022558,-6.75E-01,3.05E-01,
ENSMUSG00000022559,1.06E+00,1.04E-01,
ENSMUSG00000022560,4.14E-01,2.89E-01,
ENSMUSG00000022562,-1.27E+00,7.44E-11,
ENSMUSG00000022565,-3.87E-01,2.43E-01,
ENSMUSG00000022584,-3.12E+00,2.98E-02,
ENSMUSG00000022601,9.96E-01,4.18E-20,
ENSMUSG00000022620,1.03E+00,1.94E-01,
ENSMUSG00000022636,8.44E-02,9.29E-01,
ENSMUSG00000022665,3.64E-01,2.43E-01,
ENSMUSG00000022677,-1.31E-02,9.86E-01,
ENSMUSG00000022680,-1.90E+00,2.70E-02,
ENSMUSG00000022687,1.67E-01,8.79E-01,
ENSMUSG00000022718,-2.32E-01,8.72E-01,
ENSMUSG00000022721,2.57E-01,4.72E-01,
ENSMUSG00000022766,-4.09E-01,4.30E-01,
ENSMUSG00000022771,2.74E-01,4.09E-01,
ENSMUSG00000022781,-1.47E+00,3.78E-01,
ENSMUSG00000022788,-3.95E-03,9.97E-01,
ENSMUSG00000022792,-2.39E+00,1.71E-01,
ENSMUSG00000022793,5.15E-01,7.06E-01,
ENSMUSG00000022799,-8.77E-01,4.83E-01,
ENSMUSG00000022817,3.43E+00,1.65E-04,
ENSMUSG00000022818,4.42E-01,2.42E-03,
ENSMUSG00000022829,-2.30E+00,1.28E-06,
ENSMUSG00000022841,-4.32E-01,6.91E-01,
ENSMUSG00000022843,1.23E-01,7.24E-01,
ENSMUSG00000022847,4.72E-01,2.14E-04,
ENSMUSG00000022858,1.13E+00,9.75E-02,
ENSMUSG00000022897,-6.71E-01,5.36E-01,
ENSMUSG00000022905,-1.06E+00,4.49E-20,
ENSMUSG00000022912,4.51E-01,4.94E-01,
ENSMUSG00000022935,1.46E-02,9.65E-01,
ENSMUSG00000022945,-8.59E-02,7.84E-01,
ENSMUSG00000022952,-5.48E-01,6.25E-01,
ENSMUSG00000022957,-2.07E-01,2.29E-01,
ENSMUSG00000022961,7.25E-01,4.99E-01,
ENSMUSG00000022962,2.89E-01,6.27E-01,
ENSMUSG00000022964,4.36E-01,4.23E-01,
ENSMUSG00000022965,-2.86E-01,8.91E-01,
ENSMUSG00000022996,-2.18E-01,7.08E-01,
ENSMUSG00000023007,-3.87E-01,5.43E-01,
ENSMUSG00000023009,6.73E-01,4.65E-01,
ENSMUSG00000023011,-1.42E-01,7.47E-01,
ENSMUSG00000023022,-7.39E-02,9.30E-01,
ENSMUSG00000023032,-9.28E-01,2.93E-11,
ENSMUSG00000023050,3.19E-01,4.92E-01,
ENSMUSG00000023051,1.16E-01,6.97E-01,
ENSMUSG00000023052,4.20E-01,6.64E-02,
ENSMUSG00000023055,-9.98E-01,4.09E-01,
ENSMUSG00000023072,5.15E-01,6.92E-02,
ENSMUSG00000023079,8.95E-01,4.65E-01,
ENSMUSG00000023104,3.34E-01,3.67E-02,
ENSMUSG00000023106,-8.45E-02,9.30E-01,
ENSMUSG00000023110,-2.06E+00,1.80E-02,
ENSMUSG00000023153,9.48E-01,4.77E-02,
ENSMUSG00000023206,-8.19E-01,3.93E-01,
ENSMUSG00000023224,7.46E-01,1.93E-01,
ENSMUSG00000023345,2.19E+00,1.49E-36,
ENSMUSG00000023393,-3.58E+00,1.79E-03,
ENSMUSG00000023439,-8.13E-01,1.56E-01,
ENSMUSG00000023505,8.32E-01,1.43E-01,
ENSMUSG00000023707,3.23E-01,6.64E-01,
ENSMUSG00000023883,-2.19E+00,2.19E-01,
ENSMUSG00000023902,6.94E-01,1.35E-01,
ENSMUSG00000023953,2.04E+00,1.55E-05,
ENSMUSG00000023971,1.31E+00,1.48E-02,
ENSMUSG00000023977,-7.47E-01,4.01E-01,
ENSMUSG00000023979,6.74E-01,5.94E-01,
ENSMUSG00000024008,2.37E+00,8.83E-27,
ENSMUSG00000024012,-2.75E-01,8.57E-01,
ENSMUSG00000024036,3.50E-01,7.37E-02,
ENSMUSG00000024049,1.68E+00,1.90E-02,
ENSMUSG00000024054,3.70E-01,1.77E-01,
ENSMUSG00000024066,1.16E-01,9.07E-01,
ENSMUSG00000024068,-1.05E+00,1.54E-01,
ENSMUSG00000024077,7.47E-01,5.95E-01,
ENSMUSG00000024091,1.24E-01,9.21E-01,
ENSMUSG00000024112,2.68E-02,9.89E-01,
ENSMUSG00000024118,2.07E-01,8.34E-01,
ENSMUSG00000024121,1.10E-01,9.34E-01,
ENSMUSG00000024128,4.03E-01,5.92E-03,
ENSMUSG00000024130,5.25E-01,5.93E-01,
ENSMUSG00000024140,-1.30E-01,8.04E-01,
ENSMUSG00000024142,3.71E-01,1.70E-01,
ENSMUSG00000024143,6.45E-01,7.23E-01,
ENSMUSG00000024151,1.20E-01,7.09E-01,
ENSMUSG00000024163,4.59E-01,4.75E-01,
ENSMUSG00000024165,6.65E-01,1.67E-08,
ENSMUSG00000024174,-1.73E+00,3.92E-01,
ENSMUSG00000024176,-1.66E+00,4.85E-03,
ENSMUSG00000024197,-4.83E-01,7.39E-02,
ENSMUSG00000024201,-9.60E-01,3.40E-01,
ENSMUSG00000024206,-3.07E+00,4.80E-45,
ENSMUSG00000024213,1.95E-01,9.23E-01,
ENSMUSG00000024217,3.45E-01,1.24E-01,
ENSMUSG00000024219,-1.28E+00,3.25E-01,
ENSMUSG00000024220,8.85E-01,3.42E-03,
ENSMUSG00000024222,-8.68E-01,1.25E-01,
ENSMUSG00000024231,5.93E-01,2.55E-07,
ENSMUSG00000024232,8.67E-01,4.21E-06,
ENSMUSG00000024234,4.63E-01,5.29E-04,
ENSMUSG00000024235,-1.49E-01,3.85E-01,
ENSMUSG00000024236,-2.89E-01,7.19E-03,
ENSMUSG00000024238,-7.50E-01,3.59E-03,
ENSMUSG00000024240,6.62E-02,7.35E-01,
ENSMUSG00000024241,-3.77E-01,7.76E-01,
ENSMUSG00000024248,-1.83E+00,1.88E-01,
ENSMUSG00000024254,-5.20E-01,6.94E-01,
ENSMUSG00000024259,-1.69E-01,8.03E-01,
ENSMUSG00000024260,-3.85E-02,9.47E-01,
ENSMUSG00000024277,-5.02E-01,6.97E-01,
ENSMUSG00000024283,2.15E-02,9.13E-01,
ENSMUSG00000024286,2.16E-01,8.65E-02,
ENSMUSG00000024287,-1.23E-01,5.53E-01,
ENSMUSG00000024290,2.99E-02,8.91E-01,
ENSMUSG00000024293,-5.76E-01,1.94E-04,
ENSMUSG00000024294,2.40E-01,8.67E-02,
ENSMUSG00000024299,-8.79E-01,5.48E-02,
ENSMUSG00000024306,-8.11E-02,9.22E-01,
ENSMUSG00000024312,1.50E+00,1.11E-03,
ENSMUSG00000024319,-5.97E-01,6.00E-01,
ENSMUSG00000024330,1.29E+00,5.57E-02,
ENSMUSG00000024340,-2.81E+00,8.15E-03,
ENSMUSG00000024350,5.22E-01,3.22E-07,
ENSMUSG00000024370,-6.69E-01,6.24E-02,
ENSMUSG00000024384,2.38E-01,1.26E-01,
ENSMUSG00000024483,9.81E-02,8.91E-01,
ENSMUSG00000024485,-2.79E-01,3.10E-01,
ENSMUSG00000024486,2.92E-01,1.50E-01,
ENSMUSG00000024518,2.76E+00,1.08E-02,
ENSMUSG00000024530,4.89E-02,9.52E-01,
ENSMUSG00000024533,1.69E-01,9.08E-01,
ENSMUSG00000024566,4.79E-01,6.34E-01,
ENSMUSG00000024576,2.30E-01,4.65E-01,
ENSMUSG00000024589,-7.39E-01,5.60E-01,
ENSMUSG00000024603,6.31E-02,9.58E-01,
ENSMUSG00000024604,6.87E-02,9.60E-01,
ENSMUSG00000024617,-2.09E+00,4.87E-26,
ENSMUSG00000024620,-5.99E-01,2.76E-01,
ENSMUSG00000024622,-2.13E-01,8.42E-01,
ENSMUSG00000024639,-8.55E-01,4.84E-01,
ENSMUSG00000024646,-6.69E-01,7.07E-01,
ENSMUSG00000024660,-5.37E-01,5.68E-01,
ENSMUSG00000024664,3.23E+00,7.76E-25,
ENSMUSG00000024667,2.79E-02,9.69E-01,
ENSMUSG00000024669,-6.60E-01,3.97E-01,
ENSMUSG00000024672,4.88E-01,8.84E-03,
ENSMUSG00000024677,-9.16E-01,1.65E-01,
ENSMUSG00000024680,-3.50E-01,2.99E-01,
ENSMUSG00000024687,-1.38E-02,9.86E-01,
ENSMUSG00000024696,-2.18E+00,9.99E-02,
ENSMUSG00000024736,8.04E-01,1.93E-01,
ENSMUSG00000024740,5.04E-01,7.59E-01,
ENSMUSG00000024754,4.01E-01,8.64E-01,
ENSMUSG00000024758,6.92E-01,3.70E-01,
ENSMUSG00000024759,-1.48E+00,5.61E-02,
ENSMUSG00000024764,5.42E-01,1.26E-02,
ENSMUSG00000024769,-3.84E-01,5.03E-01,
ENSMUSG00000024772,-7.01E-01,4.20E-01,
ENSMUSG00000024773,-6.87E-01,5.17E-01,
ENSMUSG00000024776,-2.28E+00,2.96E-02,
ENSMUSG00000024777,-4.53E-01,5.74E-01,
ENSMUSG00000024780,2.00E-01,6.97E-01,
ENSMUSG00000024781,2.97E-01,6.90E-01,
ENSMUSG00000024789,-1.26E+00,1.06E-01,
ENSMUSG00000024797,4.29E-01,3.04E-01,
ENSMUSG00000024799,6.84E-01,4.64E-03,
ENSMUSG00000024805,-1.33E+00,8.62E-02,
ENSMUSG00000024811,2.17E-01,8.37E-01,
ENSMUSG00000024816,-1.07E-01,9.02E-01,
ENSMUSG00000024817,1.17E-01,7.97E-01,
ENSMUSG00000024826,-5.49E-01,3.07E-01,
ENSMUSG00000024833,3.55E-03,9.97E-01,
ENSMUSG00000024843,5.55E-01,4.81E-05,
ENSMUSG00000024851,2.38E-01,6.04E-01,
ENSMUSG00000024858,-1.19E+00,3.07E-01,
ENSMUSG00000024883,-4.99E-01,4.49E-01,
ENSMUSG00000024908,-1.59E+00,2.00E-01,
ENSMUSG00000024911,-3.01E-02,9.58E-01,
ENSMUSG00000024925,-1.54E-01,8.79E-01,
ENSMUSG00000024926,-1.64E-01,8.44E-01,
ENSMUSG00000024927,4.78E-03,9.97E-01,
ENSMUSG00000024937,8.96E-01,9.67E-05,
ENSMUSG00000024940,-1.25E+00,3.61E-25,
ENSMUSG00000024948,3.80E-02,9.77E-01,
ENSMUSG00000024957,-2.76E+00,1.75E-02,
ENSMUSG00000024958,-7.22E-01,1.17E-02,
ENSMUSG00000024959,-5.95E-01,2.17E-01,
ENSMUSG00000024960,2.87E-01,5.82E-01,
ENSMUSG00000024965,4.88E-01,3.06E-01,
ENSMUSG00000024970,-8.69E-01,5.23E-01,
ENSMUSG00000024976,-7.31E-01,5.29E-01,
ENSMUSG00000024982,-1.73E-01,8.17E-01,
ENSMUSG00000024983,-7.52E-01,4.24E-01,
ENSMUSG00000024991,7.35E-01,1.58E-09,
ENSMUSG00000025017,1.27E-01,8.76E-01,
ENSMUSG00000025019,-6.28E-01,2.75E-01,
ENSMUSG00000025020,-5.00E-01,4.01E-01,
ENSMUSG00000025025,-3.94E+00,5.34E-02,
ENSMUSG00000025034,-1.22E+00,3.06E-02,
ENSMUSG00000025041,-9.06E-01,4.47E-01,
ENSMUSG00000025047,5.34E-01,3.70E-01,
ENSMUSG00000025060,1.81E-01,8.91E-01,
ENSMUSG00000025077,-1.71E-01,8.14E-01,
ENSMUSG00000025078,-2.82E-01,7.34E-01,
ENSMUSG00000025094,-3.49E+00,1.45E-02,
ENSMUSG00000025104,8.01E-01,3.07E-01,
ENSMUSG00000025130,7.46E-02,9.35E-01,
ENSMUSG00000025132,-5.80E-01,6.49E-01,
ENSMUSG00000025134,-4.99E-02,8.79E-01,
ENSMUSG00000025135,6.80E-01,2.58E-07,
ENSMUSG00000025137,9.00E-01,1.96E-01,
ENSMUSG00000025142,-1.69E-01,8.37E-01,
ENSMUSG00000025145,1.79E+00,6.06E-02,
ENSMUSG00000025147,-7.98E-01,5.62E-01,
ENSMUSG00000025153,3.10E-01,6.91E-01,
ENSMUSG00000025155,7.66E-01,6.43E-01,
ENSMUSG00000025158,-9.02E-01,2.55E-01,
ENSMUSG00000025159,-1.80E-01,8.47E-01,
ENSMUSG00000025165,-2.06E+00,2.35E-43,
ENSMUSG00000025173,4.45E-01,8.19E-01,
ENSMUSG00000025175,-1.63E-01,8.12E-01,
ENSMUSG00000025176,-2.92E-02,9.34E-01,
ENSMUSG00000025178,3.87E-01,6.49E-01,
ENSMUSG00000025184,-7.73E-01,5.68E-01,
ENSMUSG00000025192,-1.07E+00,6.35E-01,
ENSMUSG00000025203,2.17E+00,3.56E-09,
ENSMUSG00000025207,-3.56E-02,8.91E-01,
ENSMUSG00000025217,6.54E-01,5.50E-01,
ENSMUSG00000025220,3.74E-01,7.19E-03,
ENSMUSG00000025221,2.39E-01,8.76E-01,
ENSMUSG00000025224,-7.08E-02,9.63E-01,
ENSMUSG00000025228,1.14E+00,1.14E-01,
ENSMUSG00000025231,1.40E-03,9.99E-01,
ENSMUSG00000025234,1.57E-02,9.89E-01,
ENSMUSG00000025245,1.41E-01,8.91E-01,
ENSMUSG00000025340,5.61E-01,2.45E-06,
ENSMUSG00000025348,9.56E-01,4.28E-03,
ENSMUSG00000025352,-1.17E+00,6.71E-02,
ENSMUSG00000025357,8.06E-01,1.00E-01,
ENSMUSG00000025364,1.23E-01,6.92E-01,
ENSMUSG00000025366,4.24E-01,3.16E-02,
ENSMUSG00000025373,-1.75E+00,4.96E-06,
ENSMUSG00000025375,2.29E-01,2.53E-01,
ENSMUSG00000025383,-2.28E-01,6.03E-01,
ENSMUSG00000025389,-4.29E+00,3.30E-02,
ENSMUSG00000025402,6.04E-01,7.44E-01,
ENSMUSG00000025405,-4.67E-02,9.42E-01,
ENSMUSG00000025407,6.48E-01,6.05E-02,
ENSMUSG00000025409,-2.21E-01,8.47E-01,
ENSMUSG00000025410,-3.80E-01,7.74E-01,
ENSMUSG00000025428,-1.35E+00,3.17E-01,
ENSMUSG00000025453,8.96E-01,2.93E-01,
ENSMUSG00000025474,1.95E-01,8.20E-01,
ENSMUSG00000025496,3.16E-01,7.34E-01,
ENSMUSG00000025515,-5.94E-01,3.04E-01,
ENSMUSG00000025537,3.46E-01,4.65E-01,
ENSMUSG00000025574,-9.61E-02,9.40E-01,
ENSMUSG00000025575,2.26E+00,2.41E-36,
ENSMUSG00000025582,-1.91E+00,1.47E-30,
ENSMUSG00000025583,-7.48E-01,5.10E-01,
ENSMUSG00000025607,2.71E-01,1.79E-01,
ENSMUSG00000025608,-1.31E+00,1.62E-01,
ENSMUSG00000025609,-8.61E-01,8.65E-02,
ENSMUSG00000025656,-4.50E-01,4.25E-01,
ENSMUSG00000025702,1.14E+00,3.21E-02,
ENSMUSG00000025728,-3.06E+00,1.52E-02,
ENSMUSG00000025746,-3.90E-01,3.77E-01,
ENSMUSG00000025757,-2.03E+00,1.34E-09,
ENSMUSG00000025758,-1.92E+00,1.68E-01,
ENSMUSG00000025759,-1.54E+00,2.93E-03,
ENSMUSG00000025762,6.54E-01,1.65E-01,
ENSMUSG00000025786,-5.05E-01,3.80E-01,
ENSMUSG00000025793,-1.10E-01,9.22E-01,
ENSMUSG00000025813,-1.92E+00,2.84E-01,
ENSMUSG00000025817,4.79E-01,4.47E-01,
ENSMUSG00000025821,7.28E-01,3.27E-02,
ENSMUSG00000025823,1.69E+00,4.32E-03,
ENSMUSG00000025873,9.70E-01,6.91E-02,
ENSMUSG00000025878,2.09E-01,9.29E-01,
ENSMUSG00000025887,-7.64E-01,3.85E-01,
ENSMUSG00000025888,-7.37E-03,9.66E-01,
ENSMUSG00000025893,5.32E-01,3.48E-01,
ENSMUSG00000025894,5.44E-01,1.11E-03,
ENSMUSG00000025898,2.76E-01,1.22E-01,
ENSMUSG00000025899,2.18E-01,3.05E-01,
ENSMUSG00000025912,-2.56E-01,6.73E-01,
ENSMUSG00000025915,-4.84E-02,8.28E-01,
ENSMUSG00000025939,-6.81E-01,5.54E-01,
ENSMUSG00000025949,-1.06E+00,6.36E-02,
ENSMUSG00000025958,2.72E-01,1.79E-01,
ENSMUSG00000025959,-2.20E+00,2.37E-03,
ENSMUSG00000025969,-4.24E-01,4.97E-01,
ENSMUSG00000025982,-8.62E-01,5.62E-01,
ENSMUSG00000025995,1.19E+00,1.74E-03,
ENSMUSG00000026004,3.20E-01,7.55E-01,
ENSMUSG00000026014,4.76E-02,9.34E-01,
