ID,log2FC,FDR,label
ENSMUSG00000003271,-5.30E-01,6.95E-01,
ENSMUSG00000003279,-6.96E-01,2.47E-01,
ENSMUSG00000003282,-1.16E-01,8.57E-01,
ENSMUSG00000003308,8.85E-01,8.02E-02,
ENSMUSG00000003352,-4.65E-01,2.55E-02,
ENSMUSG00000003360,-3.52E-01,1.09E-01,
ENSMUSG00000003382,5.51E+00,1.05E-46,
ENSMUSG00000003410,4.76E-01,5.50E-01,
ENSMUSG00000003452,-2.33E-01,6.04E-01,
ENSMUSG00000003458,-2.00E-01,5.50E-01,
ENSMUSG00000003476,1.03E-01,9.35E-01,
ENSMUSG00000003500,8.86E-01,1.46E-05,
ENSMUSG00000003526,9.53E-01,5.37E-02,
ENSMUSG00000003527,-9.23E-01,5.06E-01,
ENSMUSG00000003545,-3.11E-01,5.71E-01,
ENSMUSG00000003555,-5.93E-01,2.05E-04,
ENSMUSG00000003559,-8.01E-01,6.41E-01,
ENSMUSG00000003575,-3.00E-03,9.94E-01,
ENSMUSG00000003604,-4.34E-01,7.56E-01,
ENSMUSG00000003617,-7.13E-01,4.61E-01,
ENSMUSG00000003644,-2.38E-01,6.80E-01,
ENSMUSG00000003662,9.76E-02,9.58E-01,
ENSMUSG00000003680,3.32E-01,2.21E-01,
ENSMUSG00000003731,-1.71E+00,1.80E-01,
ENSMUSG00000003812,-1.41E+00,1.84E-01,
ENSMUSG00000003863,9.20E-02,7.96E-01,
ENSMUSG00000003872,-7.14E-02,9.63E-01,
ENSMUSG00000003882,-7.98E-02,7.98E-01,
ENSMUSG00000003929,5.30E-01,1.55E-01,
ENSMUSG00000004040,3.18E-01,3.56E-01,
ENSMUSG00000004043,1.49E-01,5.77E-01,
ENSMUSG00000004044,-5.02E-01,6.53E-01,
ENSMUSG00000004105,1.01E-01,7.20E-01,
ENSMUSG00000004151,-1.16E+00,6.50E-03,
ENSMUSG00000004221,8.40E-01,1.10E-05,
ENSMUSG00000004263,4.14E-01,4.94E-01,
ENSMUSG00000004267,3.13E-01,5.46E-01,
ENSMUSG00000004268,-1.14E+00,1.93E-01,
ENSMUSG00000004285,9.85E-01,5.09E-09,
ENSMUSG00000004319,-1.06E+00,2.28E-01,
ENSMUSG00000004415,-8.28E-01,6.29E-01,
ENSMUSG00000004535,-7.33E-01,6.04E-01,
ENSMUSG00000004562,-3.99E-01,4.35E-01,
ENSMUSG00000004591,-2.03E+00,1.63E-02,
ENSMUSG00000004661,-3.48E-01,7.63E-01,
ENSMUSG00000004709,-2.08E-01,7.30E-01,
ENSMUSG00000004788,1.42E-01,8.86E-01,
ENSMUSG00000004864,7.16E-02,9.62E-01,
ENSMUSG00000004865,-1.32E-01,7.30E-01,
ENSMUSG00000004891,-1.87E-01,4.24E-01,
ENSMUSG00000004894,2.48E-01,5.40E-01,
ENSMUSG00000004931,3.79E-01,8.37E-01,
ENSMUSG00000004952,1.62E-01,8.28E-01,
ENSMUSG00000004996,-2.42E-01,3.77E-01,
ENSMUSG00000005057,-3.04E-01,6.40E-01,
ENSMUSG00000005124,2.12E+00,5.20E-18,
ENSMUSG00000005125,1.19E+00,4.67E-04,
ENSMUSG00000005251,-2.15E+00,1.75E-01,
ENSMUSG00000005267,1.95E+00,6.81E-36,
ENSMUSG00000005299,2.05E-01,4.60E-01,
ENSMUSG00000005320,5.70E-01,6.07E-02,
ENSMUSG00000005354,-5.65E-01,7.97E-02,
ENSMUSG00000005362,-6.16E-01,7.15E-01,
ENSMUSG00000005373,-7.22E-01,1.07E-01,
ENSMUSG00000005374,-9.24E-01,1.77E-02,
ENSMUSG00000005397,-5.18E-01,6.66E-01,
ENSMUSG00000005442,-1.26E-01,7.95E-01,
ENSMUSG00000005447,-4.35E-01,7.25E-01,
ENSMUSG00000005470,1.23E+00,1.10E-02,
ENSMUSG00000005501,4.47E-01,6.07E-01,
ENSMUSG00000005505,3.08E-01,7.20E-01,
ENSMUSG00000005534,7.04E-01,4.40E-01,
ENSMUSG00000005553,-1.45E+00,3.51E-01,
ENSMUSG00000005609,-4.62E+00,5.37E-05,
ENSMUSG00000005611,-1.74E+00,2.91E-01,
ENSMUSG00000005615,-4.94E-01,5.68E-01,
ENSMUSG00000005621,-1.40E+00,2.46E-01,
ENSMUSG00000005625,-8.78E-01,6.05E-01,
ENSMUSG00000005656,-3.26E+00,2.49E-01,
ENSMUSG00000005682,-2.33E+00,2.28E-02,
ENSMUSG00000005696,2.38E+00,2.49E-02,
ENSMUSG00000005774,3.47E-01,7.37E-01,
ENSMUSG00000005800,-1.03E+00,1.18E-19,
ENSMUSG00000005871,-1.48E-01,7.14E-01,
ENSMUSG00000005873,-1.88E+00,4.60E-01,
ENSMUSG00000005882,-2.11E+00,5.14E-09,
ENSMUSG00000005886,1.49E-01,9.27E-01,
ENSMUSG00000005893,1.78E-01,8.89E-01,
ENSMUSG00000005949,2.33E-01,6.97E-01,
ENSMUSG00000005980,2.06E-01,7.59E-01,
ENSMUSG00000005982,-1.78E+00,2.07E-10,
ENSMUSG00000006127,-3.28E-01,3.24E-02,
ENSMUSG00000006154,1.84E-01,6.16E-01,
ENSMUSG00000006204,5.39E-01,6.64E-01,
ENSMUSG00000006215,-2.26E+00,1.02E-01,
ENSMUSG00000006281,2.32E+00,1.51E-30,
ENSMUSG00000006333,3.09E-01,6.99E-01,
ENSMUSG00000006435,4.63E-01,7.68E-01,
ENSMUSG00000006463,9.24E-02,9.27E-01,
ENSMUSG00000006464,-3.42E-01,8.42E-01,
ENSMUSG00000006526,-8.49E-01,1.69E-03,
ENSMUSG00000006567,-1.11E+00,3.82E-01,
ENSMUSG00000006575,2.57E-01,5.19E-01,
ENSMUSG00000006576,7.55E-01,2.25E-04,
ENSMUSG00000006641,4.97E-01,6.54E-01,
